"component_name","final_classification","batch","priority","risk_level","effort","consumer_apps","repo_ui_status","spec_required","migration_complexity"
"Accordion","NEW_SHARED_COMPONENT","4","P1","LOW","S","claim-portal","partial","yes","low"
"Add","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"Add Channel Modal","KEEP_APP_LOCAL","N/A","P2","LOW","S","admin-portal-boost","missing","no","low"
"Add Insurer Modal","KEEP_APP_LOCAL","N/A","P2","LOW","S","admin-portal-boost","missing","no","low"
"AddAffiliateManagerForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddAffiliateManagerHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddAffiliateManagerModal","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddBenefit","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddBenefitForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddBenefitHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddBenefitPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","admin-portal","missing","no","low"
"AddCampaignsForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddCampaignsHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddCampaignsModalInsurance","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddCampaignsModalPlan","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddCampaignsModalProduct","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddChannelModal","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","admin-portal","missing","no","low"
"AddHolidayForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddHolidayHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddIcon","KEEP_APP_LOCAL","N/A","P3","MEDIUM","XS","affiliate-admin|agent-admin|agent-web-portal","partial","no","low"
"AddInsurerModal","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","admin-portal","missing","no","low"
"AddonInfoModal","NEW_SHARED_COMPONENT","4","P2","LOW","S","customer-portal|grab-landing-page","missing","yes","low"
"AddonOptionsModal","SPLIT","1.5","P1","MEDIUM","M","customer-portal|grab-landing-page","missing","no","high"
"AddonOptionsModalShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","grab-landing-page","missing","no","low"
"AddPackage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddPackageForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddPackageHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddPackagePage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","admin-portal","missing","no","low"
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","admin-portal","missing","no","low"
"AddPlanPage","KEEP_APP_LOCAL","N/A","P3","LOW","S","affiliate-admin","missing","no","low"
"AddPlanView","SPLIT","1.5","P1","MEDIUM","M","affiliate-admin","missing","no","high"
"AddPlanViewShell","KEEP_APP_LOCAL","1.5","P2","MEDIUM","M","affiliate-admin","missing","no","low"
"AddProductCategory","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddProductCategoryForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddProductCategoryHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddProductForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddProductHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddRakanForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddRakanHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddReferralForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddReferralHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddSanctionForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddSanctionHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddSanctionViewShell","KEEP_APP_LOCAL","1.5","P0","HIGH","S","gegm-friendcover-admin","missing","no","low"
"AddSchemeShell","KEEP_APP_LOCAL","N/A","P1","HIGH","S","agent-portal","partial","no","low"
"AddSchemeView","SPLIT","1.5","P1","HIGH","L","affiliate-portal|agent-portal","partial","no","high"
"AddSchemeViewContainer","KEEP_APP_LOCAL","1.5","P1","HIGH","S","agent-portal","partial","no","low"
"AddSourceViewShell","KEEP_APP_LOCAL","1.5","P0","HIGH","S","gegm-friendcover-admin","missing","no","low"
"AddTransactionForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddTransactionHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddUserForm","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddUserHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AddView","KEEP_APP_LOCAL","N/A","P3","HIGH","XS","admin-portal","missing","no","low"
"AdminLayout","KEEP_APP_LOCAL","N/A","P2","LOW","XS","agent-admin|ticket-portal","partial","no","low"
"AffiliateAffiliateFeeParamPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AffiliateAffiliateManagerAddPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AffiliateAffiliateManagerParamPage","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AffiliateFeeFilter","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AffiliateFeeHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AffiliateFeeTable","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AffiliateFeeView","SPLIT","1.5","P0","HIGH","XL","teman-affiliate-portal","partial","no","high"
"AffiliateFeeViewContainer","KEEP_APP_LOCAL","N/A","P0","HIGH","M","teman-affiliate-portal","partial","no","low"
"AffiliateFeeViewShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","M","teman-affiliate-portal","partial","no","low"
"AffiliateManagerHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AffiliateManagerTable","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AffiliatorView","SPLIT","1.5","P0","HIGH","XL","teman-affiliate-portal","partial","no","high"
"AffiliatorViewContainer","KEEP_APP_LOCAL","N/A","P0","HIGH","M","teman-affiliate-portal","partial","no","low"
"AffiliatorViewShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","M","teman-affiliate-portal","partial","no","low"
"AgentDetailPage","KEEP_APP_LOCAL","N/A","P3","LOW","XS","agent-admin","missing","no","low"
"AgentNewPage","KEEP_APP_LOCAL","N/A","P3","LOW","XS","agent-admin","missing","no","low"
"AgentPage","KEEP_APP_LOCAL","N/A","P3","LOW","XS","agent-admin","missing","no","low"
"AgentView","KEEP_APP_LOCAL","N/A","P3","LOW","XS","agent-admin","missing","no","low"
"AITopPicksListView","SPLIT","1.5","P0","HIGH","XL","agent-web-portal","partial","no","high"
"AITopPicksListViewContainer","KEEP_APP_LOCAL","N/A","P1","HIGH","M","agent-web-portal","partial","no","low"
"AITopPicksListViewShell","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","agent-web-portal","partial","no","low"
"Alert","NEW_SHARED_COMPONENT","4","P1","LOW","S","admin-portal|admin-portal-boost","missing","yes","low"
"Alert Circle Icon","KEEP_APP_LOCAL","N/A","P2","LOW","S","admin-portal-boost","missing","no","low"
"AlertAgeLimit","NEW_SHARED_COMPONENT","4","P2","MEDIUM","XS","agent-microsite|ecommerce-gelm","partial","yes","medium"
"AlertBanner","NEW_SHARED_COMPONENT","4","P1","LOW","S","customer-portal","missing","yes","low"
"AlertBuy","SPLIT","1.5","P1","MEDIUM","XS","agent-microsite|ecommerce-gelm|ecommerce-teman|grab-landing-page","partial","no","high"
"AlertBuyContainer","KEEP_APP_LOCAL","1.5","P2","LOW","M","ecommerce-teman","missing","no","low"
"AlertBuyShell","NEW_SHARED_COMPONENT","4","P2","LOW","M","ecommerce-teman","missing","yes","low"
"AlertCircleIcon","KEEP_APP_LOCAL","N/A","P3","MEDIUM","XS","affiliate-admin|agent-admin|agent-web-portal","partial","no","low"
"AlertModal","NEW_SHARED_COMPONENT","4","P1","MEDIUM","M","gegm-friendcover","missing","yes","medium"
"AlterationDashboard","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AlterationFilter","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AlterationHeader","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AlterationHistoryTab","KEEP_APP_LOCAL","N/A","P1","MEDIUM","S","agent-web-portal","partial","no","low"
"AlterationTable","KEEP_APP_LOCAL","N/A","P1","HIGH","S","teman-affiliate-admin","missing","no","low"
"AlterationTnc","KEEP_APP_LOCAL","N/A","P3","LOW","XS","claim-portal","missing","no","low"
"AlterationView","SPLIT","1.5","P0","HIGH","XL","claim-portal","missing","no","high"
"AlterationViewContainer","KEEP_APP_LOCAL","N/A","P0","HIGH","XL","claim-portal","missing","no","low"
